"E 3 St & 1 Ave" "E 7 St & Avenue A" "Union Ave & N 12 St" "E 10 St & 5 Ave" "Graham Ave & Conselyea St" "Bedford Ave & Nassau Ave" "Pershing Square North" "E 2 St & Avenue C" "E 10 St & Avenue A" "South St & Whitehall St" "Greenwich Ave & Charles St" "Hicks St & Montague St" "W 38 St & 8 Ave" "Bialystoker Pl & Delancey St" "Carlton Ave & Flushing Ave" "W 22 St & 8 Ave" "Bond St & Schermerhorn St" "W 39 St & 9 Ave" "9 Ave & W 18 St" "Kent Ave & S 11 St" "Broadway & W 49 St" "Grand St & Greene St" "Stanton St & Chrystie St" "W 21 St & 6 Ave" "45 Rd & 11 St" "E 9 St & Avenue C" "W 51 St & 6 Ave" "Rivington St & Ridge St" "Monroe St & Tompkins Ave" "Bayard St & Baxter St" "9 Ave & W 22 St" "E 17 St & Broadway" "W 18 St & 6 Ave" "Suffolk St & Stanton St" "W 4 St & 7 Ave S" "W 41 St & 8 Ave" "Cleveland Pl & Spring St" "E 13 St & Avenue A" "E 2 St & Avenue B" "8 Ave & W 52 St" "Atlantic Ave & Furman St" "E 19 St & 3 Ave" "Fulton St & Broadway" "E 20 St & Park Ave" "1 Ave & E 16 St" "W 17 St & 8 Ave" "E 5 St & Avenue C" "1 Ave & E 30 St" "E 39 St & 2 Ave" "Bushwick Ave & Powers St" "W 37 St & 10 Ave" "Barclay St & Church St" "West St & Chambers St" "Allen St & Stanton St" "E 11 St & 1 Ave" "11 Ave & W 41 St" "S 3 St & Bedford Ave" "E 2 St & 2 Ave" "E 85 St & York Ave" "Greenwich Ave & 8 Ave" "Lefferts Pl & Franklin Ave" "Front St & Washington St" "India St & Manhattan Ave" "W 56 St & 10 Ave" "Putnam Ave & Nostrand Ave" "W 70 St & Amsterdam Ave" "Riverside Dr & W 82 St" "E 20 St & FDR Drive" "Lexington Ave & E 29 St" "Clermont Ave & Park Ave" "Franklin St & W Broadway" "Driggs Ave & Lorimer St" "Banker St & Meserole Ave" "W 15 St & 7 Ave" "Madison St & Montgomery St" "E 84 St & 1 Ave" "South End Ave & Liberty St" "W 52 St & 9 Ave" "W 27 St & 7 Ave" "Carmine St & 6 Ave" "Avenue D & E 3 St" "W 49 St & 8 Ave" "Broadway & E 14 St" "Bank St & Hudson St" "Allen St & Hester St" "Clinton Ave & Flushing Ave" "Fulton St & Grand Ave" "W 84 St & Columbus Ave" "St Marks Pl & 2 Ave" "E 39 St & 3 Ave" "W 13 St & 6 Ave" "Broadway & Whipple St" "Christopher St & Greenwich St" "E 6 St & Avenue D" "Allen St & Rivington St" "Fulton St & Clermont Ave" "Broadway & W 60 St" "E 25 St & 2 Ave" "Milton St & Franklin St" "W 54 St & 9 Ave" "W 46 St & 11 Ave" "Roebling St & N 4 St" "Lafayette Ave & Fort Greene Pl" "Leonard St & Church St" "Broadway & W 32 St" "N 11 St & Wythe Ave" "6 Ave & W 33 St" "Broadway & Battery Pl" "W 42 St & Dyer Ave" "Clark St & Henry St" "E 31 St & 3 Ave" "N 6 St & Bedford Ave" "Amsterdam Ave & W 73 St" "Elizabeth St & Hester St" "Pearl St & Hanover Square" "Peck Slip & Front St" "Market St & Cherry St" "Amsterdam Ave & W 82 St" "W 59 St & 10 Ave" "Broadway & W 37 St" "W Broadway & Spring St" "1 Ave & E 18 St" "Norman Ave & Leonard St" "9 Ave & W 45 St" "Great Jones St" "W 20 St & 7 Ave" "W 24 St & 7 Ave" "Catherine St & Monroe St" "University Pl & E 14 St" "Meserole Ave & Manhattan Ave" "W 47 St & 10 Ave" "E 55 St & 2 Ave" "Fulton St & William St" "Pike St & E Broadway" "Halsey St & Tompkins Ave" "Broadway & W 58 St" "E 77 St & Park Ave" "W 76 St & Columbus Ave" "Lispenard St & Broadway" "47 Ave & 31 St" "1 Ave & E 68 St" "Howard St & Centre St" "Pershing Square South" "8 Ave & W 33 St" "Broadway & Roebling St" "Duane St & Greenwich St" "E 68 St & 3 Ave" "1 Ave & E 62 St" "11 Ave & W 27 St" "Forsyth St & Broome St" "5 Ave & E 78 St" "W 25 St & 6 Ave" "Graham Ave & Grand St" "W 84 St & Broadway" "Riverside Dr & W 72 St" "Montague St & Clinton St" "E 45 St & 3 Ave" "Broadway & E 22 St" "Pitt St & Stanton St" "W 63 St & Broadway" "E 48 St & 3 Ave" "LaGuardia Pl & W 3 St" "Montrose Ave & Bushwick Ave" "Willoughby Ave & Hall St" "Grand Army Plaza & Central Park S" "Lexington Ave & E 24 St" "E 11 St & Broadway" "Broadway & W 53 St" "Columbia St & Rivington St" "Canal St & Rutgers St" "Shevchenko Pl & E 7 St" "Avenue D & E 12 St" "S 5 Pl & S 4 St" "Pier 40 - Hudson River Park" "St James Pl & Oliver St" "Tompkins Ave & Hopkins St" "1 Ave & E 78 St" "E 33 St & 2 Ave" "E 72 St & York Ave" "Division Ave & Hooper St" "Brooklyn Bridge Park - Pier 2" "W 20 St & 8 Ave" "E 24 St & Park Ave S" "Forsyth St & Canal St" "W 26 St & 10 Ave" "W 16 St & The High Line" "Berry St & N 8 St" "Broadway & W 41 St" "Sullivan St & Washington Sq" "W 43 St & 10 Ave" "Lawrence St & Willoughby St" "Rivington St & Chrystie St" "Throop Ave & Myrtle Ave" "W 27 St & 10 Ave" "W 42 St & 8 Ave" "9 Ave & W 28 St" "Hancock St & Bedford Ave" "Greenwich St & W Houston St" "W 33 St & 7 Ave" "DeKalb Ave & Hudson Ave" "Vesey Pl & River Terrace" "Greenwich St & North Moore St" "W 45 St & 6 Ave" "E 48 St & 5 Ave" "E 40 St & 5 Ave" "E 47 St & Park Ave" "Union Ave & Wallabout St" "Union Ave & Jackson St" "E 20 St & 2 Ave" "Willoughby Ave & Walworth St" "Greenpoint Ave & Manhattan Ave" "Washington Pl & Broadway" "E 53 St & Madison Ave" "William St & Pine St" "W 37 St & 5 Ave" "Greenwich St & Warren St" "E 32 St & Park Ave" "W 67 St & Broadway" "6 Ave & Broome St" "Park Ave & St Edwards St" "E 27 St & 1 Ave" "Reade St & Broadway" "W 52 St & 5 Ave" "E 77 St & 3 Ave" "Broadway & W 24 St" "W 20 St & 11 Ave" "E 56 St & Madison Ave" "E 15 St & 3 Ave" "Clinton St & Grand St" "E 33 St & 5 Ave" "E 53 St & Lexington Ave" "E 47 St & 2 Ave" "Broadway & W 29 St" "E 58 St & 3 Ave" "Monroe St & Bedford Ave" "Warren St & Church St" "Metropolitan Ave & Meeker Ave" "Front St & Maiden Ln" "E 85 St & 3 Ave" "Stanton St & Mangin St" "W 26 St & 8 Ave" "Broadway & W 39 St" "9 St & 44 Rd" "Central Park West & W 72 St" "Washington Ave & Park Ave" "W 45 St & 8 Ave" "W 56 St & 6 Ave" "8 Ave & W 31 St" "Mercer St & Bleecker St" "Columbus Ave & W 72 St" "E 55 St & 3 Ave" "Vernon Blvd & 50 Ave" "Watts St & Greenwich St" "Fulton St & Washington Ave" "E 81 St & York Ave" "Mott St & Prince St" "E 30 St & Park Ave S" "2 Ave & E 31 St" "Laight St & Hudson St" "Murray St & West St" "Cooper Square & E 7 St" "5 Ave & E 29 St" "1 Ave & E 44 St" "Broad St & Bridge St" "Liberty St & Broadway" "Queens Plaza North & Crescent St" "Bus Slip & State St" "John St & William St" "W 13 St & Hudson St" "E 81 St & 3 Ave" "McGuinness Blvd & Eagle St" "12 Ave & W 40 St" "6 Ave & Canal St" "Perry St & Bleecker St" "Central Park S & 6 Ave" "W 82 St & Central Park West" "Broadway & W 55 St" "E 51 St & Lexington Ave" "Pearl St & Anchorage Pl" "W 22 St & 10 Ave" "Fulton St & Rockwell Pl" "Pike St & Monroe St" "W 13 St & 5 Ave" "Centre St & Chambers St" "E 16 St & 5 Ave" "E 23 St & 1 Ave" "E 59 St & Madison Ave" "E 16 St & Irving Pl" "Old Slip & Front St" "Leonard St & Bayard St" "W 44 St & 5 Ave" "Bedford Ave & S 9 St" "Monroe St & Classon Ave" "York St & Jay St" "Harrison St & Hudson St" "W 52 St & 11 Ave" "W 11 St & 6 Ave" "Water - Whitehall Plaza" "Lexington Ave & E 63 St" "E 6 St & Avenue B" "W 31 St & 7 Ave" "MacDougal St & Washington Sq" "Clinton St & Joralemon St" "Kent Ave & N 7 St" "5 Ave & E 73 St" "West Thames St" "E 72 St & Park Ave" "11 Ave & W 59 St" "Penn Station Valet" "E 55 St & Lexington Ave" "Norfolk St & Broome St" "Cherry St" "Metropolitan Ave & Bedford Ave" "E 67 St & Park Ave" "E 61 St & Park Ave" "E 25 St & 1 Ave" "Nassau Ave & Russell St" "W 64 St & West End Ave" "W 34 St & 11 Ave" "South St & Gouverneur Ln" "E 12 St & 3 Ave" "FDR Drive & E 35 St" "44 Dr & Jackson Ave" "Riverside Blvd & W 67 St" "E 43 St & 2 Ave" "E 75 St & 3 Ave" "3 Ave & E 62 St" "W 53 St & 10 Ave" "Hanson Pl & St Felix St" "E 84 St & Park Ave" "Bank St & Washington St" "N 8 St & Driggs Ave" "Kingston Ave & Herkimer St" "Wythe Ave & Metropolitan Ave" "E 51 St & 1 Ave" "E 14 St & Avenue B" "E 41 St & Madison Ave" "Columbia Heights & Cranberry St" "Henry St & Grand St" "Concord St & Bridge St" "Fulton St & Utica Ave" "MacDougal St & Prince St" "Barrow St & Hudson St" "Graham Ave & Herbert St" "Center Blvd & Borden Ave" "St James Pl & Pearl St" "21 St & 43 Ave" "Spruce St & Nassau St" "31 St & Thomson Ave" "Broadway & W 51 St" "Bond St & Fulton St" "E 52 St & 2 Ave" "Broadway & W 36 St" "Atlantic Ave & Fort Greene Pl" "Willoughby St & Fleet St" "Front St & Gold St" "Scholes St & Manhattan Ave" "State St & Smith St" "Maiden Ln & Pearl St" "Little West St & 1 Pl" "Washington Pl & 6 Ave" "Duffield St & Willoughby St" "Lexington Ave & Classon Ave" "E 47 St & 1 Ave" "Centre St & Worth St" "Cliff St & Fulton St" "St Marks Pl & 1 Ave" "W 14 St & The High Line" "Nassau Ave & Newell St" "Central Park West & W 68 St" "Dean St & 4 Ave" "Madison St & Clinton St" "University Pl & E 8 St" "Old Fulton St" "India St & East River" "Devoe St & Leonard St" "Myrtle Ave & Lewis Ave" "Hope St & Union Ave" "S 4 St & Rodney St" "Myrtle Ave & Marcy Ave" "Mercer St & Spring St" "Stagg St & Union Ave" "S 4 St & Wythe Ave" "Lewis Ave & Kosciuszko St" "Central Park West & W 76 St" "DeKalb Ave & Skillman St" "W 43 St & 6 Ave" "46 Ave & 5 St" "E 11 St & 2 Ave" "Schermerhorn St & Court St" "Macon St & Nostrand Ave" "Lafayette Ave & St James Pl" "E 60 St & York Ave" "Henry St & Atlantic Ave" "W 78 St & Broadway" "Leonard St & Boerum St" "Central Park West & W 85 St" "Avenue D & E 8 St" "East End Ave & E 86 St" "Hudson St & Reade St" "3 Ave & E 71 St" "Johnson St & Gold St" "Carlton Ave & Park Ave" "Cadman Plaza E & Tillary St" "Marcus Garvey Blvd & Macon St" "Adelphi St & Myrtle Ave" "Humboldt St & Varet St" "Kosciuszko St & Nostrand Ave" "Riverside Dr & W 78 St" "NYCBS Depot - SSP" "Washington Park" "Division St & Bowery" "Sands St & Navy St" "S Portland Ave & Hanson Pl" "3 Ave & Schermerhorn St" "Cadman Plaza E & Red Cross Pl" "E 80 St & 2 Ave" "Park Ave & Marcus Garvey Blvd" "DeKalb Ave & S Portland Ave" "Grand St & Havemeyer St" "Greene Ave & Nostrand Ave" "Clinton Ave & Myrtle Ave" "W 74 St & Columbus Ave" "E 58 St & 1 Ave" "Lafayette Ave & Classon Ave" "McKibbin St & Manhattan Ave" "Soissons Landing" "Clermont Ave & Lafayette Ave" "N 15 St & Wythe Ave" "Clinton St & Tillary St" "Franklin St & Dupont St" "Lorimer St & Broadway" "E 71 St & 2 Ave" "Jackson Ave & 46 Rd" "Huron St & Franklin St" "Myrtle Ave & St Edwards St" "N 12 St & Bedford Ave" "Franklin Ave & Myrtle Ave" "DeKalb Ave & Vanderbilt Ave" "Nassau St & Navy St" "Leonard St & Grand St" "48 Ave & 5 St" "Driggs Ave & N Henry St" "Marcy Ave & Lafayette Ave" "Leonard St & Manhattan Ave" "Cambridge Pl & Gates Ave" "Washington Ave & Greene Ave" "Willoughby Ave & Tompkins Ave" "Graham Ave & Withers St" "Henry St & Poplar St" "Emerson Pl & Myrtle Ave" "Division Ave & Marcy Ave" "Verona Pl & Fulton St" "E 81 St & Park Ave" "Railroad Ave & Kay Ave" "Broadway & Berry St" "Kiosk in a box Motivate" "Cumberland St & Lafayette Ave" "21 St & 41 Ave" "Albany Ave & Fulton St" "Lewis Ave & Decatur St" "Boerum St & Broadway" "Frost St & Meeker St" "Nostrand Ave & Myrtle Ave" "Yankee Ferry Terminal" "5 Ave & E 88 St" "NYCBS Depot - FAR" "Leonard St & Meeker Ave" "Lewis Ave & Madison St" "Kosciuszko St & Tompkins Ave" "Pulaski St & Marcus Garvey Blvd" "W 87 St  & Amsterdam Ave" "E 88 St & Park Ave" "Putnam Ave & Throop Ave" "Greene Ave & Throop Ave" "NYCBS Depot - STY" "Riverside Dr & W 91 St" "W 87 St & West End Ave" "NYCBS Depot - PIT" "E 88 St & 1 Ave" "E 89 St & 3 Ave" "Dixon Mills" "5 Ave & E 93 St" "E 91 St & 2 Ave" "E 91 St & Park Ave" "Central Park W & W 96 St" "2 Ave  & E 104 St" "E 89 St & York Ave" "1 Ave & E 94 St" "Columbus Ave & W 95 St" "W 95 St & Broadway" "West End Ave & W 94 St" "E 97 St & Madison Ave" "E 95 St & 3 Ave" "Newport Pkwy" "Paulus Hook" "Central Park West & W 102 St" "Central Park West & W 100 St" "W 90 St & Amsterdam Ave" "E 102 St & 1 Ave" "3 Ave & E 100 St" "W 100 St & Broadway" "W 104 St & Amsterdam Ave" "Columbus Ave & W 103 St" "E 97 St & 3 Ave" "NYCBS Depot BAL - DYR" "Madison Ave & E 99 St" "E 102 St & Park Ave" "Lafayette St & E 8 St" "W 106 St & Amsterdam Ave" "W 106 St & Central Park West" "5 Ave & E 103 St" "W 107 St & Columbus Ave" "E 106 St & 1 Ave" "E 109 St & 3 Ave" "2 Ave & E 105 St" "E 106 St & Madison Ave" "E 110 St & Madison Ave" "Riverside Dr & W 104 St" "E 103 St & Lexington Ave" "West End Ave & W 107 St" "Congress St & Clinton St" "Bond St & Bergen St" "Wyckoff St & 3 Ave" "Baltic St & 5 Ave" "7 Ave & Park Pl" "Prospect Pl & 6 Ave" "Douglass St & 4 Ave" "Essex Light Rail" "Butler St & Court St" "Columbia St & Degraw St" "Clinton St & Union St" "Columbia St & Kane St" "Douglass St & 3 Ave" "Cathedral Pkwy & Broadway" "Union St & 4 Ave" "Carroll St & Columbia St" "Richards St & Delavan St" "Wolcott St & Dwight St" "Commerce St & Van Brunt St" "Henry St & Degraw St" "4 Ave & 9 St" "Henry St & W 9 St" "3 St & 3 Ave" "Smith St & 9 St" "Berkeley Pl & 6 Ave" "2 Ave & 9 St" "Clinton St & 4 Place" "5 Ave & 3 St" "Kane St & Clinton St" "5 St & 6 Ave" "14 St & 7 Ave" "6 St & 7 Ave" "10 St & 7 Ave" "6 Ave & 9 St" "7 St & 5 Ave" "Court St & State St" "6 Ave & 12 St" "12 St & 4 Ave" "Columbia St & Lorraine St" "10 St & 5 Ave" "Henry St & Bay St" "Pioneer St & Richards St" "Heights Elevator" "Exchange Place" "Lafayette St & Jersey St" "Hoyt St & Warren St" "President St & Henry St" "Clinton St & Centre St" "3 Ave & 14 St" "Carroll St & 5 Ave" "Warren St & Court St" "Columbia St & W 9 St" "Prospect Park West & 8 St" "Degraw St & Smith St" "Dean St & Hoyt St" "Carroll St & Smith St" "SSP Tech Workshop" "Carroll St & 6 Ave" "1 Pl & Clinton St" "Court St & Nelson St" "Reed St & Van Brunt St"
"E 3 St & 1 Ave" 114 64 0 36 0 4 34 158 114 22 36 2 6 38 0 14 2 6 24 0 6 40 30 80 0 88 10 62 0 32 2 182 32 98 52 32 130 90 106 10 4 38 10 20 168 16 144 76 42 0 10 60 42 16 202 0 14 24 6 60 4 0 0 2 0 2 0 30 42 0 16 0 0 30 10 10 16 0 20 122 106 8 192 22 60 0 0 4 50 26 74 4 54 82 80 0 2 108 24 0 0 8 2 18 4 2 28 8 8 8 28 0 2 58 8 28 12 0 2 10 36 102 0 0 216 8 26 8 102 0 2 24 10 40 0 4 0 0 10 0 30 88 22 8 0 20 4 12 14 86 2 16 4 0 4 4 4 114 34 0 10 240 4 2 2 58 30 8 26 66 14 10 38 6 22 16 20 68 2 0 2 2 26 32 6 50 2 6 100 14 0 24 0 8 0 4 0 52 8 0 12 12 10 6 24 50 0 2 54 0 0 46 8 6 12 44 66 6 22 0 68 12 10 0 46 44 2 88 28 32 32 2 48 8 2 8 0 20 2 24 16 10 0 0 4 8 10 32 94 0 0 0 6 2 6 140 28 28 6 44 188 14 46 14 10 10 8 12 44 0 6 18 40 20 8 6 20 6 2 24 0 96 38 18 10 88 2 28 10 0 14 2 0 2 4 2 52 20 0 78 12 46 2 2 2 4 6 4 0 0 36 12 2 6 0 42 2 0 30 38 112 4 0 0 2 12 12 4 0 2 8 0 0 4 18 78 6 0 18 0 0 106 26 2 0 2 0 2 0 6 2 6 6 0 0 0 0 6 22 6 30 0 0 46 18 18 72 12 2 2 2 12 26 2 0 0 2 2 2 0 48 4 12 0 0 0 14 0 80 2 0 4 4 0 0 0 4 28 2 14 0 4 0 14 0 2 0 0 0 0 0 28 0 0 0 0 0 0 0 6 0 2 0 10 2 2 0 2 0 8 0 0 4 0 2 0 0 0 2 4 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 8 0 10 0 0 0 2 0 0 0 0 2 0 0 0 2 0 0 0 0 6 0 0 0 0 0 0 0 2 0 0 0 0 0 0 40 0 0 0 2 0 0 0 0 0 0 0 2 0 2 0 0 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E 7 St & Avenue A" 108 160 4 64 4 6 88 90 40 96 84 6 16 32 4 18 0 2 18 0 2 90 108 120 0 48 6 28 0 56 26 130 70 80 84 22 232 138 112 4 6 50 24 48 166 46 78 60 66 0 10 34 56 76 126 8 14 88 0 184 2 8 0 8 0 2 2 40 28 0 44 0 2 68 14 10 32 4 34 102 26 6 314 8 54 4 0 0 178 32 84 0 70 84 102 0 50 60 10 4 6 6 0 46 12 0 44 18 4 4 12 0 8 46 20 72 22 0 0 22 82 92 0 2 274 22 26 12 114 0 4 22 4 18 0 10 0 2 26 0 48 86 4 22 0 2 0 8 10 68 8 38 2 0 4 0 4 288 8 0 6 138 6 0 10 72 48 4 14 100 128 12 64 4 10 2 14 64 0 0 4 14 22 10 24 42 2 36 74 24 2 44 0 22 6 12 0 66 16 2 28 22 16 6 24 30 0 0 64 0 2 86 12 10 36 18 76 2 42 0 88 12 8 0 62 74 4 120 56 26 6 24 28 6 0 18 4 30 4 20 34 44 0 2 0 4 2 44 62 10 86 2 44 0 0 268 26 14 2 6 1420 18 40 8 28 6 6 8 36 0 2 22 20 20 14 0 18 10 0 8 0 14 64 28 32 98 4 26 46 0 26 2 0 6 0 6 128 4 4 36 52 104 0 6 2 10 4 2 24 16 80 26 10 0 2 36 4 0 4 64 158 40 0 2 0 6 0 2 2 0 10 12 0 2 20 82 20 0 28 0 0 158 42 0 0 6 0 12 0 4 0 12 2 4 0 2 2 2 32 16 20 0 6 10 32 20 52 28 0 0 4 24 56 0 0 2 6 2 8 0 40 6 2 0 2 0 12 0 140 2 0 2 0 4 2 0 4 42 2 4 0 0 0 0 0 0 0 0 2 2 0 18 0 2 0 0 4 0 0 2 0 0 0 16 0 2 0 2 0 12 0 6 0 0 6 0 4 0 2 4 0 6 0 0 0 4 0 2 0 4 0 6 0 0 0 8 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 2 0 2 2 0 2 2 2 0 0 2 4 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 58 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 2 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Union Ave & N 12 St" 0 8 84 0 56 102 0 0 0 0 2 0 0 4 2 0 0 0 0 20 0 2 4 6 4 2 0 0 0 4 0 2 0 8 4 0 18 0 10 0 2 0 0 0 0 0 0 0 0 42 0 0 0 14 2 2 42 0 2 0 0 0 40 0 2 0 0 2 0 0 0 48 42 0 2 0 16 0 0 0 0 0 2 0 2 4 0 0 0 0 0 4 0 0 2 0 0 4 146 0 0 106 0 0 0 20 0 0 2 0 0 98 0 4 0 6 0 0 0 0 4 4 24 0 32 0 0 0 0 106 0 0 2 0 14 0 0 0 0 6 0 2 0 0 18 0 0 2 0 10 0 0 18 0 0 0 0 6 0 0 0 0 30 4 0 0 0 0 0 2 0 0 40 0 0 4 0 0 0 4 10 0 0 0 0 0 26 0 0 0 0 4 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 20 0 2 26 0 0 4 0 6 4 0 0 0 2 2 0 2 0 0 0 0 0 0 0 4 0 0 0 4 70 4 0 0 0 0 0 0 4 6 2 4 4 0 0 40 0 4 0 22 0 0 0 0 4 0 0 0 0 10 0 0 0 0 14 0 2 0 2 0 0 0 4 0 2 0 0 4 0 0 0 0 4 20 0 10 4 2 0 0 0 0 0 0 0 0 0 144 0 4 0 0 0 0 16 0 194 0 0 0 56 0 0 4 2 2 0 0 0 0 0 0 6 0 0 100 22 62 0 2 0 0 0 6 0 0 0 36 0 0 0 8 4 2 0 6 0 0 2 0 24 0 2 2 0 0 0 0 0 0 0 0 54 0 0 0 0 6 22 74 10 86 22 4 0 80 20 4 0 0 0 0 4 2 4 0 0 0 0 6 0 0 0 0 0 4 0 0 2 0 6 0 0 0 4 0 0 0 8 2 0 2 4 56 2 0 0 0 4 6 0 0 10 2 34 4 0 4 70 0 26 0 6 12 28 0 44 0 4 0 0 2 40 0 4 4 0 0 0 28 0 0 0 0 4 8 18 4 0 0 0 12 4 2 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 2 0 0 4 0 0 0 2 0 4 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"E 10 St & 5 Ave" 32 150 6 84 4 2 52 10 72 2 54 2 30 20 0 60 2 12 10 0 8 10 24 96 0 68 10 10 0 16 34 76 68 48 78 10 70 22 34 6 0 36 0 22 38 36 12 26 2 0 16 24 66 38 50 14 6 22 0 136 0 2 0 2 4 0 2 10 16 0 44 0 0 34 14 0 34 2 44 74 10 6 216 24 2 0 0 0 94 12 70 2 90 0 40 0 14 26 0 2 6 0 0 24 32 0 30 8 4 2 22 0 0 28 10 2 10 0 0 4 58 10 0 2 66 30 14 6 172 0 4 8 4 8 0 2 0 4 8 0 0 38 8 12 2 4 2 12 12 34 0 30 0 0 0 0 2 56 6 0 0 40 0 6 4 30 22 2 0 2 8 6 4 36 6 0 4 8 4 0 0 56 10 2 14 18 2 12 36 10 0 8 6 14 0 6 2 24 2 0 24 38 10 0 6 4 0 0 26 0 0 42 6 14 8 20 20 2 16 0 12 4 8 0 44 26 0 28 4 2 2 10 22 14 0 8 0 0 0 6 56 8 0 2 0 8 20 18 60 2 12 0 26 2 0 56 20 10 2 8 100 14 4 4 12 0 4 2 40 0 0 40 16 18 0 0 2 0 0 22 4 2 12 2 26 34 2 40 0 0 6 0 0 6 10 18 32 0 0 42 30 26 2 0 2 42 0 4 4 2 4 2 4 0 0 12 0 2 6 4 122 10 2 4 2 2 4 2 2 0 4 0 0 8 6 28 2 0 10 0 0 106 88 0 0 4 0 6 0 0 2 0 8 0 0 4 0 0 10 30 76 0 0 0 12 0 22 12 0 0 2 12 60 2 0 0 0 2 2 0 34 0 2 0 0 4 4 0 112 2 0 0 0 0 2 0 0 22 0 16 0 2 2 0 0 0 0 0 2 0 2 4 2 0 0 4 6 0 0 0 0 2 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 4 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Graham Ave & Conselyea St" 4 0 56 2 90 60 0 0 0 0 0 0 0 0 0 0 2 0 0 10 0 2 0 0 8 0 0 18 4 0 0 0 0 0 4 0 4 0 0 0 0 2 0 0 0 4 0 0 0 18 0 2 0 4 0 0 32 2 0 2 4 0 20 0 0 0 0 0 0 0 0 34 4 0 0 0 0 0 0 4 0 0 2 0 18 8 4 0 0 0 0 16 0 0 4 2 0 2 84 0 0 64 0 0 0 14 0 0 0 2 0 42 0 2 0 0 0 0 0 0 0 0 12 0 14 0 0 0 0 68 0 0 4 0 0 0 0 0 0 2 0 0 0 0 12 0 0 0 0 6 0 0 34 0 0 4 0 2 0 0 0 2 38 0 0 0 0 0 0 4 0 0 20 0 0 10 0 0 0 28 0 0 0 0 0 0 22 0 2 0 0 12 0 0 0 0 0 2 0 0 0 0 0 0 0 0 6 22 0 6 78 0 0 0 0 0 6 0 2 0 0 6 0 0 2 0 0 0 10 0 0 0 8 0 0 0 94 0 0 0 0 0 0 0 6 0 0 0 2 0 0 8 0 6 0 6 0 0 0 0 0 0 4 0 0 0 0 0 0 0 14 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 6 30 0 2 4 2 0 0 0 0 0 0 2 0 0 74 0 0 0 0 0 0 6 0 108 0 0 0 100 0 0 0 0 0 10 0 0 0 0 0 0 0 0 44 0 70 0 2 0 0 0 0 2 4 0 312 0 0 0 0 0 0 0 0 0 0 2 4 30 0 0 0 0 0 0 0 4 0 4 0 34 0 0 0 0 4 2 22 6 52 14 0 0 36 16 4 2 6 0 2 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 16 0 0 0 0 2 0 0 0 0 0 4 0 64 6 0 0 0 0 10 0 0 10 0 4 0 0 10 14 0 22 10 0 2 22 2 474 0 20 2 0 0 36 0 12 6 0 0 0 22 0 0 0 0 10 4 34 0 0 0 0 14 6 6 4 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 2 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
