"name" "long" "lat"
"108" "Broadway & Battery Pl" -74.01361706 40.70463334
"109" "W 42 St & Dyer Ave" -73.9937996864319 40.7589848139963
"110" "Clark St & Henry St" -73.99344559 40.69760127
"111" "E 31 St & 3 Ave" -73.97966069 40.74394314
"112" "N 6 St & Bedford Ave" -73.95850939 40.71745169
"113" "Amsterdam Ave & W 73 St" -73.9809304475784 40.7796680900731
"114" "Elizabeth St & Hester St" -73.9962244033813 40.7175908180598
"115" "Pearl St & Hanover Square" -74.00926027 40.7047177
"116" "Peck Slip & Front St" -74.00167 40.707873
"117" "Market St & Cherry St" -73.99400398 40.71076228
"118" "Amsterdam Ave & W 82 St" -73.97667321 40.78524672
"119" "W 59 St & 10 Ave" -73.988038 40.770513
"120" "Broadway & W 37 St" -73.98753523 40.75172632
"121" "W Broadway & Spring St" -74.00154702 40.72490985
"122" "1 Ave & E 18 St" -73.9805442094803 40.7338121919663
"123" "Norman Ave & Leonard St" -73.95064893 40.7258483
"124" "9 Ave & W 45 St" -73.9912551 40.76019252
"125" "Great Jones St" -73.99379025 40.72743423
"126" "W 20 St & 7 Ave" -73.99726235 40.74238787
"127" "W 24 St & 7 Ave" -73.99529885 40.74487634
"128" "Catherine St & Monroe St" -73.99682619 40.71117444
"129" "University Pl & E 14 St" -73.99200509 40.73492695
"130" "Meserole Ave & Manhattan Ave" -73.95299117 40.72708584
"131" "W 47 St & 10 Ave" -73.99301222 40.76269882
"132" "E 55 St & 2 Ave" -73.96603308 40.75797322
"133" "Fulton St & William St" -74.00653609 40.70955958
"134" "Pike St & E Broadway" -73.99293911 40.71406667
"135" "Halsey St & Tompkins Ave" -73.944118 40.6823687
"136" "Broadway & W 58 St" -73.98169333 40.76695317
"137" "E 77 St & Park Ave" -73.9617526531219 40.774405455003
"138" "W 76 St & Columbus Ave" -73.9772853255272 40.7801839724239
"139" "Lispenard St & Broadway" -74.00247214 40.71939226
"140" "47 Ave & 31 St" -73.93561 40.743
"141" "1 Ave & E 68 St" -73.95818491 40.76500525
"142" "Howard St & Centre St" -73.99973337 40.71910537
"143" "Pershing Square South" -73.97791 40.751581
"144" "8 Ave & W 33 St" -73.993934 40.751551
"145" "Broadway & Roebling St" -73.95982218 40.70925562
"146" "Duane St & Greenwich St" -74.0104554 40.71748752
"147" "E 68 St & 3 Ave" -73.9622461795807 40.7671284034954
"148" "1 Ave & E 62 St" -73.96094022 40.7612274
"149" "11 Ave & W 27 St" -74.005226 40.751396
"150" "Forsyth St & Broome St" -73.99266288 40.71893904
"151" "5 Ave & E 78 St" -73.9638876914978 40.7768286343997
"152" "W 25 St & 6 Ave" -73.99144871 40.74395411
"153" "Graham Ave & Grand St" -73.944024 40.711863
"154" "W 84 St & Broadway" -73.977112 40.7867947
"155" "Riverside Dr & W 72 St" -73.9856243133545 40.7805779901033
"156" "Montague St & Clinton St" -73.9923003315926 40.6942811413973
"157" "E 45 St & 3 Ave" -73.97282625 40.75255434
"158" "Broadway & E 22 St" -73.98955109 40.7403432
